Organization,Industry,Breach_Type,Records_Compromised,Detection_Days,Total_Cost_USD,Compliance_Standard,Breach_Year,Industry_encoded,Breach_Type_encoded,Compliance_encoded,High_Cost
Guzman and Sons,Education,Credential Theft,687350,149,444321,CCPA,2016,0,0,0,0
Walker-Huffman,Technology,DDoS,151194,149,626672,PCI-DSS,2022,5,1,3,1
"Waters, Cowan and Grimes",Retail,Credential Theft,910161,126,191841,CCPA,2017,4,0,0,0
"Lynch, Oneal and Mills",Technology,Credential Theft,970183,302,473496,SOX,2021,5,0,4,0
Nelson and Sons,Technology,Malware,594704,360,515779,,2019,5,3,5,1
Velasquez LLC,Finance,Credential Theft,28480,238,504627,,2017,1,0,5,1
Davenport-Taylor,Retail,Insider Threat,634586,135,169416,HIPAA,2015,4,2,2,0
"Quinn, Small and Lane",Retail,Credential Theft,264600,151,740622,CCPA,2022,4,0,0,1
Clark-Bradley,Retail,Credential Theft,70426,236,329065,CCPA,2017,4,0,0,0
Moore Group,Technology,Credential Theft,878979,224,567007,SOX,2016,5,0,4,1
Green Ltd,Education,Phishing,639382,203,501592,GDPR,2015,0,4,1,1
"Stafford, Sherman and Baker",Retail,Insider Threat,221071,256,700741,GDPR,2018,4,2,1,1
Kim-May,Government,Insider Threat,806581,86,937497,,2022,2,2,5,1
"Ortiz, Romero and Ochoa",Technology,DDoS,469033,150,241927,,2017,5,1,5,0
Sanchez and Sons,Finance,Malware,891893,235,370217,PCI-DSS,2015,1,3,3,0
"Watson, Jacobson and Estrada",Education,Credential Theft,802614,345,537818,SOX,2018,0,0,4,1
Simmons LLC,Government,Ransomware,787193,22,278929,HIPAA,2023,2,5,2,0
"Williams, Hughes and Clark",Government,Malware,168584,348,656436,HIPAA,2015,2,3,2,1
Bonilla-Thompson,Finance,Malware,789452,285,668674,SOX,2016,1,3,4,1
Pacheco-Rodriguez,Education,Insider Threat,484510,269,611889,HIPAA,2023,0,2,2,1
"Kelley, Mcpherson and Miller",Technology,Malware,769766,258,547316,GDPR,2016,5,3,1,1
Wood-Dunn,Healthcare,Credential Theft,977919,29,773941,HIPAA,2017,3,0,2,1
Daniels and Sons,Education,Credential Theft,341805,213,268874,HIPAA,2021,0,0,2,0
"Thompson, Parks and Martin",Finance,Phishing,795478,283,513053,SOX,2017,1,4,4,1
"Wood, Alexander and Williams",Government,Credential Theft,225414,50,352239,SOX,2023,2,0,4,0
Nelson-Sanchez,Technology,Credential Theft,438816,95,677983,HIPAA,2020,5,0,2,1
Brown Ltd,Education,Insider Threat,760000,88,133331,CCPA,2017,0,2,0,0
"Spencer, Poole and Nelson",Healthcare,Credential Theft,802841,44,494383,SOX,2023,3,0,4,0
Conner Inc,Healthcare,Phishing,579618,278,567047,PCI-DSS,2015,3,4,3,1
Leach Ltd,Retail,Ransomware,898354,171,310501,PCI-DSS,2024,4,5,3,0
Espinoza-Contreras,Retail,Insider Threat,491972,189,374761,GDPR,2017,4,2,1,0
"Morris, Fields and Dunn",Finance,Ransomware,517098,353,503075,HIPAA,2015,1,5,2,1
Watson-Hill,Education,Insider Threat,947631,184,691019,CCPA,2016,0,2,0,1
Jones Inc,Education,DDoS,520084,3,293426,GDPR,2022,0,1,1,0
Yoder-Evans,Government,Malware,465857,191,328310,HIPAA,2021,2,3,2,0
"Martin, Le and Johnson",Government,DDoS,374584,118,725117,SOX,2016,2,1,4,1
Dickson Inc,Government,Credential Theft,508162,19,445404,PCI-DSS,2016,2,0,3,0
Knight Inc,Retail,Ransomware,583709,23,344492,,2023,4,5,5,0
Porter-Rogers,Education,Credential Theft,132128,30,645736,CCPA,2020,0,0,0,1
Wright Group,Education,Malware,231547,295,402360,,2019,0,3,5,0
